"event_date","reported_by_ru","acled"
2025-04-11,1290,60
2025-04-09,1045,50
2025-04-08,1295,60
2025-04-07,1265,60
2025-04-06,1250,60
2025-04-05,1370,70
2025-04-04,1265,60
2025-04-02,660,50
2025-04-01,1200,60
2025-03-31,1190,60
2025-03-30,1175,60
2025-03-29,1485,70
2025-03-28,1505,70
2025-03-26,1250,60
2025-03-25,1310,60
2025-03-24,1140,60
2025-03-23,1430,60
2025-03-22,1570,70
2025-03-21,1160,50
2025-03-19,825,50
2025-03-18,1245,60
2025-03-17,1095,60
2025-03-16,1205,60
2025-03-15,1305,60
2025-03-14,1050,60
2025-03-12,1190,60
2025-03-11,1160,60
2025-03-10,1240,60
2025-03-09,1185,60
2025-03-08,1710,70
2025-03-07,1300,60
2025-03-05,1270,60
2025-03-04,1350,60
2025-03-03,1405,60
2025-03-02,1315,NA
2025-03-01,1605,70
2025-02-28,1055,60
2025-02-26,915,50
2025-02-25,1005,60
2025-02-24,905,60
2025-02-23,925,60
2025-02-22,1185,70
2025-02-21,1080,60
2025-02-19,945,60
2025-02-18,975,60
2025-02-17,980,60
2025-02-16,1160,50
2025-02-15,1255,70
2025-02-12,1225,60
2025-02-11,1180,60
2025-02-10,1120,60
2025-02-09,1105,60
2025-02-08,1520,70
2025-02-07,1205,60
2025-02-05,585,50
2025-02-04,1455,70
2025-02-03,1265,60
2025-02-02,1295,60
2025-02-01,1230,60
2025-01-31,1400,60
2025-01-29,1275,60
2025-01-28,1275,60
2025-01-27,1330,60
2025-01-26,1410,50
2025-01-25,1780,70
2025-01-24,1420,60
2025-01-22,1420,40
2025-01-21,1605,60
2025-01-20,1660,60
2025-01-19,1390,60
2025-01-18,1615,70
2025-01-17,1465,50
2025-01-15,1830,60
2025-01-14,1575,60
2025-01-13,1640,60
2025-01-12,1740,60
2025-01-11,1740,70
2025-01-10,1425,60
2025-01-08,1480,60
2025-01-07,1460,60
2025-01-06,1635,60
2025-01-05,1400,60
2025-01-04,1700,70
2025-01-03,1030,60
2025-01-01,990,50
2024-12-31,1050,60
2024-12-30,1495,60
2024-12-29,1870,70
2024-12-28,1800,70
2024-12-27,1200,50
2024-12-25,1505,60
2024-12-24,1495,60
2024-12-23,1480,60
2024-12-22,1960,70
2024-12-21,1835,70
2024-12-20,1575,60
2024-12-18,1110,50
2024-12-17,1610,60
2024-12-16,1625,60
2024-12-15,2150,70
2024-12-14,1925,70
2024-12-13,1575,70
2024-12-11,1345,60
2024-12-10,1455,60
2024-12-09,1585,60
2024-12-08,1765,70
2024-12-07,1860,70
2024-12-06,1285,60
2024-12-04,1890,60
2024-12-03,1615,60
2024-12-02,1640,60
2024-12-01,1765,70
2024-11-30,1820,70
2024-11-29,1510,60
2024-11-27,1085,60
2024-11-26,1785,70
2024-11-25,1925,70
2024-11-24,1320,60
2024-11-23,1805,70
2024-11-22,1495,50
2024-11-20,1620,60
2024-11-19,2010,70
2024-11-18,1710,60
2024-11-17,1900,60
2024-11-16,1940,70
2024-11-15,1755,60
2024-11-13,2025,60
2024-11-12,3195,80
2024-11-11,2285,70
2024-11-10,2180,70
2024-11-09,2085,70
2024-11-08,2165,70
2024-11-06,1780,60
2024-11-05,2080,70
2024-11-04,2100,70
2024-11-03,1900,70
2024-11-02,1825,70
2024-11-01,2295,70
2024-10-30,1475,60
2024-10-29,2035,70
2024-10-28,2640,70
2024-10-27,2280,60
2024-10-26,2350,70
2024-10-25,1955,50
2024-10-23,2365,60
2024-10-22,2345,70
2024-10-21,2380,70
2024-10-20,1995,70
2024-10-19,1805,60
2024-10-18,1925,60
2024-10-16,2164,60
2024-10-15,2170,70
2024-10-14,1775,70
2024-10-13,2065,70
2024-10-12,1805,60
2024-10-11,1935,60
2024-10-09,1955,60
2024-10-08,1850,70
2024-10-07,2195,70
2024-10-06,1865,70
2024-10-05,1670,60
2024-10-04,625,50
2024-10-02,2085,60
2024-10-01,2720,80
2024-09-30,2565,70
2024-09-29,2245,70
2024-09-28,1965,60
2024-09-27,1925,50
2024-09-26,330,10
2024-09-25,1245,50
2024-09-24,2390,70
2024-09-23,2030,60
2024-09-22,2135,70
2024-09-21,2110,60
2024-09-20,2450,70
2024-09-18,1940,60
2024-09-17,2200,60
2024-09-16,1960,60
2024-09-15,2265,70
2024-09-14,2515,70
2024-09-13,2090,60
2024-09-12,300,10
2024-09-11,2000,60
2024-09-10,2025,60
2024-09-09,2020,60
2024-09-08,2190,70
2024-09-07,2495,60
2024-09-06,2305,60
2024-09-04,2085,60
2024-09-03,1935,60
2024-09-02,1860,50
2024-09-01,1690,60
2024-08-31,1920,60
2024-08-30,1900,50
2024-08-28,2125,60
2024-08-27,1985,60
2024-08-26,2145,60
2024-08-25,1930,60
2024-08-24,1960,60
2024-08-23,2103,60
2024-08-21,2125,60
2024-08-20,2060,60
2024-08-19,2005,60
2024-08-18,2265,70
2024-08-17,1930,70
2024-08-16,2010,60
2024-08-14,1850,60
2024-08-13,1845,60
2024-08-12,1835,60
2024-08-11,1635,50
