"event_date","reported_by_ua","acled"
2025-04-11,271,188
2025-04-10,245,170
2025-04-09,78,39
2025-04-08,281,239
2025-04-07,292,243
2025-04-06,241,121
2025-04-04,371,208
2025-04-03,358,249
2025-04-02,282,141
2025-04-01,323,226
2025-03-31,443,338
2025-03-30,134,134
2025-03-28,445,333
2025-03-27,458,320
2025-03-26,309,154
2025-03-25,416,372
2025-03-24,146,119
2025-03-23,119,119
2025-03-21,270,169
2025-03-20,342,240
2025-03-19,217,166
2025-03-18,227,184
2025-03-17,108,54
2025-03-16,152,152
2025-03-14,183,140
2025-03-13,598,271
2025-03-12,197,146
2025-03-11,401,260
2025-03-10,387,348
2025-03-09,104,104
2025-03-07,233,160
2025-03-06,382,260
2025-03-05,186,144
2025-03-04,269,135
2025-03-03,323,270
2025-03-02,100,100
2025-02-28,301,160
2025-02-27,274,172
2025-02-26,202,140
2025-02-25,234,172
2025-02-24,315,256
2025-02-23,190,190
2025-02-21,322,231
2025-02-20,389,272
2025-02-19,143,71
2025-02-18,487,426
2025-02-17,214,149
2025-02-16,172,86
2025-02-14,270,176
2025-02-13,364,181
2025-02-12,152,108
2025-02-11,261,218
2025-02-10,169,113
2025-02-09,114,114
2025-02-07,313,221
2025-02-06,240,160
2025-02-05,112,56
2025-02-04,161,110
2025-02-03,320,274
2025-02-02,156,156
2025-01-31,183,101
2025-01-30,532,265
2025-01-29,191,95
2025-01-28,346,276
2025-01-27,158,101
2025-01-24,307,246
2025-01-23,348,268
2025-01-22,79,39
2025-01-21,270,224
2025-01-20,177,132
2025-01-19,150,150
2025-01-17,173,173
2025-01-16,490,245
2025-01-15,93,46
2025-01-14,316,274
2025-01-13,257,216
2025-01-12,184,184
2025-01-10,558,344
2025-01-09,405,301
2025-01-08,139,69
2025-01-07,181,120
2025-01-06,326,275
2025-01-05,130,130
2025-01-03,290,214
2025-01-02,321,216
2025-01-01,93,47
2024-12-31,213,172
2024-12-30,190,127
2024-12-29,556,278
2024-12-27,363,279
2024-12-26,430,292
2024-12-25,105,53
2024-12-24,183,132
2024-12-23,413,346
2024-12-22,161,161
2024-12-20,391,280
2024-12-19,459,329
2024-12-18,140,70
2024-12-17,339,280
2024-12-16,313,264
2024-12-15,452,226
2024-12-13,436,217
2024-12-12,590,295
2024-12-11,158,79
2024-12-10,304,247
2024-12-09,192,140
2024-12-08,193,193
2024-12-06,194,150
2024-12-05,480,362
2024-12-04,150,75
2024-12-03,141,141
2024-12-02,353,278
2024-12-01,130,65
2024-11-29,837,417
2024-11-28,757,449
2024-11-27,143,71
2024-11-26,263,193
2024-11-25,664,400
2024-11-24,180,180
2024-11-22,468,298
2024-11-21,502,303
