"num","edrpou","name","name_short","link","sales_2019","profit_2019","sales_2018","profit_2018","difference","status","reg_date","kved","gov_share","fpg","percent_19","group","dir_2019_change","fillColor"
1,"20077720","АКЦІОНЕРНЕ ТОВАРИСТВО НАЦІОНАЛЬНА АКЦІОНЕРНА КОМПАНІЯ ""НАФТОГАЗ УКРАЇНИ""","НАФТОГАЗ УКРАЇНИ","https://youcontrol.com.ua/search/?q=20077720",178349.4,50658.2,"204938.1",13613.3,37044.9,"noStop","1998-06-02","70.10 Діяльність головних управлінь (хед-офісів)","100","0",272.122850447724,"2",0,"green"
2,"40075815","АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ""","УКРАЇНСЬКА ЗАЛІЗНИЦЯ","https://youcontrol.com.ua/search/?q=40075815",89711.8,2497.3,"83357.2",353.7,2143.6,"noStop","2015-10-21","49.20 Вантажний залізничний транспорт","100","0",606.050325134295,"2",0,"green"
3,"21515381","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЕНЕРГОРИНОК""","ДП ""ЕНЕРГОРИНОК""","https://youcontrol.com.ua/search/?q=21515381",87339.1,-1242.7,"171390",2859.7,-4102.4,"noStop","2000-06-08","35.14 Торгівля електроенергією","NULL","0",-143.455607231528,"1",0,"red"
4,"24584661","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНА АТОМНА ЕНЕРГОГЕНЕРУЮЧА КОМПАНІЯ ""ЕНЕРГОАТОМ""","ДП ""ЕНЕРГОАТОМ""","https://youcontrol.com.ua/search/?q=24584661",48846.6,3773.6,"44055.3",4631.8,-858.2,"noStop","1996-12-20","35.11 Виробництво електроенергії","NULL","0",-18.5284338702017,"1",1,"red"
7,"100227","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""НАЦІОНАЛЬНА ЕНЕРГЕТИЧНА КОМПАНІЯ ""УКРЕНЕРГО""","ПАТ ""НЕК ""УКРЕНЕРГО""","https://youcontrol.com.ua/search/?q=100227",26253.7,3446.2,"5992.7",2558.9,887.3,"noStop","1998-08-10","35.12 Передача електроенергії","NULL","0",34.6750556879909,"1",0,"green"
8,"22927045","ПАТ ""ЦЕНТРЕНЕРГО""","ПАТ ""ЦЕНТРЕНЕРГО""","https://youcontrol.com.ua/search/?q=22927045",15133.3,-1979.5,"14508.8",499.1,-2478.6,"noStop","1998-09-01","35.11 Виробництво електроенергії","78.3","0",-496.613905029052,"2",1,"red"
9,"37243279","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО""ДЕРЖАВНА ПРОДОВОЛЬЧО-ЗЕРНОВА КОРПОРАЦІЯ УКРАЇНИ""","ПАТ ""ДЕРЖАВНА ПРОДОВОЛЬЧО-ЗЕРНОВА КОРПОРАЦІЯ УКРАЇНИ""","https://youcontrol.com.ua/search/?q=37243279",14104.9,-1931.3,"10578.4",-1497.5,-433.8,"noStop","2010-09-16","70.10 Діяльність головних управлінь (хед-офісів)","100","0",-28.9682804674457,"1",1,"red"
10,"20588716","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРГІДРОЕНЕРГО""","ПАТ  ""УКРГІДРОЕНЕРГО""","https://youcontrol.com.ua/search/?q=20588716",8262.4,3222.6,"7960.8",3668.3,-445.7,"noStop","1995-01-05","35.11 Виробництво електроенергії","100","0",-12.1500422539051,"1",0,"red"
11,"21560045","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРПОШТА""","ПАТ  ""УКРПОШТА""","https://youcontrol.com.ua/search/?q=21560045",8064.8,496.4,"6811.7",-504.5,1000.9,"noStop","1993-12-15","53.10 Діяльність національної пошти","NULL","0",198.394449950446,"1",0,"green"
12,"38727770","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АДМІНІСТРАЦІЯ МОРСЬКИХ ПОРТІВ УКРАЇНИ""","ДП ""АДМІНІСТРАЦІЯ МОРСЬКИХ ПОРТІВ УКРАЇНИ""","https://youcontrol.com.ua/search/?q=38727770",7020.8,1631.1,"6747.9",2755,-1123.9,"noStop","2013-05-27","52.22 Допоміжне обслуговування водного транспорту","NULL","0",-40.7949183303085,"1",0,"red"
13,"14308776","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНЕ КИЇВСЬКЕ КОНСТРУКТОРСЬКЕ БЮРО ""ЛУЧ""","ДП  ""ДЕРЖАВНЕ КИЇВСЬКЕ КОНСТРУКТОРСЬКЕ БЮРО ""ЛУЧ""","https://youcontrol.com.ua/search/?q=14308776",6696.4,515.6,"3440.9",412.9,102.7,"noStop","1992-07-08","72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук","NULL","0",24.8728505691451,"1",0,"green"
14,"38926880","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АГРАРНИЙ ФОНД""","ПуАТ ""АГРАРНИЙ ФОНД""","https://youcontrol.com.ua/search/?q=38926880",6140.6,-3269.1,"6860",147,-3416.1,"noStop","2013-10-07","46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин","100","0",-2323.87755102041,"3",1,"red"
15,"14307529","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АНТОНОВ""","ДП ""АНТОНОВ""","https://youcontrol.com.ua/search/?q=14307529",5998.7,448,"7820.2",1093.6,-645.6,"noStop","1997-10-28","72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук","NULL","0",-59.0343818580834,"1",0,"red"
16,"20572069","ДЕРЖАВНЕ ПІДПРИЄМСТВО "" МІЖНАРОДНИЙ АЕРОПОРТ ""БОРИСПІЛЬ""","ДП БОРИСПІЛЬ","https://youcontrol.com.ua/search/?q=20572069",4476.5,1532.9,"4279.2",1857.9,-325,"noStop","1993-03-23","52.23 Допоміжне обслуговування авіаційного транспорту","NULL","0",-17.4928682921578,"1",0,"red"
17,"36716128","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" ОБ'ЕДНАНА ГІРНИЧО-ХІМІЧНА КОМПАНІЯ""","ПАТ  ""ОБ'ЕДНАНА ГІРНИЧО-ХІМІЧНА КОМПАНІЯ""","https://youcontrol.com.ua/search/?q=36716128",3535.4,100.7,"3213.7",154.8,-54.1,"noStop","2009-10-05","07.29 Добування руд інших кольорових металів","NULL","0",-34.9483204134367,"1",1,"red"
18,"19477064","ДЕРЖАВНЕ ПІДПРИЄМСТВО ОБСЛУГОВУВАННЯ ПОВІТРЯНОГО РУХУ УКРАЇНИ","ДП ОБСЛУГОВУВАННЯ ПОВІТРЯНОГО РУХУ УКРАЇНИ","https://youcontrol.com.ua/search/?q=19477064",3526,-992.8,"3665",-164.5,-828.3,"noStop","1993-01-15","52.23 Допоміжне обслуговування авіаційного транспорту","NULL","0",-503.525835866261,"2",1,"red"
19,"21655998","ДЕРЖАВНА КОМПАНІЯ З ЕКСПОРТУ ТА ІМПОРТУ ПРОДУКЦІЇ І ПОСЛУГ ВІЙСЬКОВОГО ТА СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ""УКРСПЕЦЕКСПОРТ""","УКРСПЕЦЕКСПОРТ","https://youcontrol.com.ua/search/?q=21655998",3449.2,200.6,"1470.1",235.7,-35.1,"noStop","1996-10-23","46.90 Неспеціалізована оптова торгівля","NULL","0",-14.891811624947,"1",1,"red"
20,"31821381","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ВИРОБНИЧИЙ КОМПЛЕКС ГАЗОТУРБОБУДУВАННЯ ""ЗОРЯ""-""МАШПРОЕКТ""","ДП  ""НВК ГАЗОТУРБОБУДУВАННЯ ""ЗОРЯ""-""МАШПРОЕКТ""","https://youcontrol.com.ua/search/?q=31821381",3420.4,283.6,"2008.5",21.1,262.5,"noStop","2002-01-04","28.11 Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів","NULL","0",1244.07582938389,"3",1,"green"
21,"30019335","ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ""-ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ЗОВНІШНЬОТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО ""СПЕЦТЕХНОЕКСПОРТ""","""СПЕЦТЕХНО-ЕКСПОРТ""","https://youcontrol.com.ua/search/?q=30019335",3173.7,78,"1938.5",49.9,28.1,"noStop","1998-07-08","46.90 Неспеціалізована оптова торгівля","NULL","0",56.312625250501,"1",1,"green"
22,"5762269","АКЦІОНЕРНЕ ТОВАРИСТВО ""ТУРБОАТОМ"" (АТ ""ТУРБОАТОМ"")","АТ  ""ТУРБОАТОМ"" ","https://youcontrol.com.ua/search/?q=5762269",2822.8,314.1,"2615.4",764.3,-450.2,"noStop","1993-08-04","28.11 Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів","75.2","Енергетичний стандарт",-58.9035718958524,"1",0,"red"
