"oblast","oblast_ua","population","c_math_percent","plus_180_percent","plus_160_percent","average_zno","path_math_percent"
"Vinnyts'ka oblast","Вінницька",15011,47.5,2.1,7.7,135.4,78.6
"Volyn'","Волинська",11012,37.2,2.3,9,141.4,86.3
"Dnipropetrovs'k","Дніпропетровська",27720,54.5,3.1,10.2,137.9,78.6
"Donets'k","Донецька",14359,53.9,2.7,9.9,137.5,80.7
"Zhytomyr","Житомирська",11320,47.7,1.9,8.1,136.1,78.3
"Zakarpats'ka oblast","Закарпатська",11959,27.7,1.2,5.1,138,78
"Zaporiz'ka oblast","Запорізька",14648,43.9,2.3,7.8,137.4,83.4
"Ivano-Frankivs'k","Івано-Франківська",13104,32,2,6.7,139.9,84
"Kyivs'ka oblast","Київська",12957,47,2.8,9.4,138.6,82.2
"Kirovohrad","Кіровоградська",7694,48.6,1.8,7.1,134.4,74.6
"Luhans'k","Луганська",5526,48.3,1.5,7.8,135,81.9
"L'viv","Львівська",24489,42.6,3.7,11.2,143.2,83.8
"Misto Kyiv","м.Київ",28255,51.4,6.6,16.8,147.3,89
"Mykolaivs'ka oblast","Миколаївська",9187,46.9,1.9,7.2,135.2,78.3
"Odessa","Одеська",21198,56.8,2.3,9.6,136.6,79.1
"Poltava","Полтавська",12002,48.6,2.3,9.3,137.7,81.1
"Rivne","Рівненська",12504,35.7,2.4,8.2,140.5,82
"Sumy","Сумська",8944,47.7,3,10.4,140,82.5
"Ternopil’","Тернопільська",10001,30.6,1.8,6.7,140.9,83.2
"Kharkiv","Харківська",20594,55.1,3.7,12.6,140.9,83.5
"Kherson","Херсонська",9374,46.5,2.4,7.8,136.3,80.5
"Khmel'nyts'kyi","Хмельницька",11281,42.1,2.1,8.2,138.8,80.4
"Cherkasy","Черкаська",8807,43.4,2.6,9.5,140.3,87
"Chernivtsi","Чернівецька",8716,25.7,1.1,4.5,136.4,80.4
"Chernihiv","Чернігівська",8196,46.6,2.9,9.8,139.1,82.7
"Avtonomna Respublika Krym","АР Крим",0,0,0,0,0,0
