"oblast_ua","2016","2017","2018","2019"
"м.Київ",6.3,8.6,6.2,6.6
"Харківська область",2.8,4.1,3.5,3.7
"Львівська область",3.6,5,4.2,3.7
"Дніпропетровська область",2.8,3.8,3.2,3.1
"Сумська область",3.1,3.8,2.9,3
"Чернігівська область",2.5,3.5,3,2.9
"Київська область",2.5,2.8,2.3,2.8
"Донецька область",2.3,3.1,2.4,2.7
"Черкаська область",2.6,3.1,2.9,2.6
"Рівненська область",1.8,3,2.1,2.4
"Херсонська область",1.4,2.7,2.2,2.4
"Полтавська область",1.8,2.8,2.2,2.3
"Одеська область",1.8,2.8,2.1,2.3
"Волинська область",2.2,3.2,2.2,2.3
"Запорізька область",1.7,2.9,2.2,2.3
"Хмельницька область",1.8,2.1,2,2.1
"Вінницька область",1.6,2.6,2,2.1
"Івано-Франківська область",2.1,3.1,1.9,2
"Житомирська область",1.5,2.3,1.6,1.9
"Миколаївська область",1.7,2.3,1.9,1.9
"Кіровоградська область",1.2,2.2,1.8,1.8
"Тернопільська область",1.7,2.7,1.3,1.8
"Луганська область",1.8,1.6,1.5,1.5
"Закарпатська область",0.9,1.5,1.2,1.2
"Чернівецька область",0.9,1.2,1.1,1.1
