"Rank","Artist","URL","freq"
7,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
10,"Artik & Asti","https://www.youtube.com/watch?v=XnrXCpHBor8",90
17,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
27,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
35,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
39,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
43,"Olya Polyakova","https://www.youtube.com/watch?v=Eo-4AUBnpRg",37
47,"Vremya i Steklo","https://www.youtube.com/watch?v=NJPXs7J7JyY",31
54,"KAZKA","https://www.youtube.com/watch?v=3H5o-_0iDTE",7
56,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
64,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
69,"Dzidzio","https://www.youtube.com/watch?v=aN0sHxfP9oY",22
71,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
76,"Verka Serduchka","https://www.youtube.com/watch?v=lXI_T_9uU6s",2
80,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
84,"Iryna Fedyshyn","https://www.youtube.com/watch?v=_jSHxIivyiI",4
89,"Oleg Vinnik","https://www.youtube.com/watch?v=RWJbflKf404",5
90,"Vremya i Steklo","https://www.youtube.com/watch?v=aj10Ab6Cws8",31
91,"Max Barskih","https://www.youtube.com/watch?v=JzHqrk9uKso",37
93,"Max Barskih","https://www.youtube.com/watch?v=rRsT-yxDb7E",37
95,"Nensi","https://www.youtube.com/watch?v=7ECJcEyWWeg",5
13,"Oleksandr Ponomariov","https://www.youtube.com/watch?v=TzHPTnHLd8U",2
14,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
25,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
32,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
40,"Iryna Fedyshyn","https://www.youtube.com/watch?v=_jSHxIivyiI",4
45,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
48,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
54,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
59,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
61,"KAZKA","https://www.youtube.com/watch?v=3H5o-_0iDTE",7
63,"Dzidzio","https://www.youtube.com/watch?v=aN0sHxfP9oY",22
65,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
76,"Ani Lorak","https://www.youtube.com/watch?v=B9waR9VtGEI",12
82,"Vremya i Steklo","https://www.youtube.com/watch?v=aj10Ab6Cws8",31
85,"Oleg Vinnik","https://www.youtube.com/watch?v=RWJbflKf404",5
90,"Verka Serduchka","https://www.youtube.com/watch?v=lXI_T_9uU6s",2
98,"Iryna Fedyshyn","https://www.youtube.com/watch?v=TAJmY-7rGVM",4
99,"KAZKA","https://www.youtube.com/watch?v=pu7CbtAxMEY",7
13,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
21,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
24,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
40,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
43,"Vremya i Steklo","https://www.youtube.com/watch?v=NJPXs7J7JyY",31
50,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
51,"Alina Grosu","https://www.youtube.com/watch?v=s0pKsN4-jLs",2
53,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
60,"KAZKA","https://www.youtube.com/watch?v=3H5o-_0iDTE",7
63,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
64,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
70,"Oleksandr Ponomariov","https://www.youtube.com/watch?v=TzHPTnHLd8U",2
81,"Oleg Vinnik","https://www.youtube.com/watch?v=RWJbflKf404",5
83,"Iryna Fedyshyn","https://www.youtube.com/watch?v=_jSHxIivyiI",4
88,"Vremya i Steklo","https://www.youtube.com/watch?v=aj10Ab6Cws8",31
95,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
9,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
13,"Artik & Asti","https://www.youtube.com/watch?v=XnrXCpHBor8",90
18,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
22,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
29,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
35,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
51,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
60,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
61,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
67,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
71,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
79,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
83,"KAZKA","https://www.youtube.com/watch?v=3H5o-_0iDTE",7
88,"Oleg Vinnik","https://www.youtube.com/watch?v=RWJbflKf404",5
94,"Vremya i Steklo","https://www.youtube.com/watch?v=aj10Ab6Cws8",31
16,"Artik & Asti","https://www.youtube.com/watch?v=XnrXCpHBor8",90
21,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
23,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
24,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
47,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
62,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
68,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
77,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
82,"Khrystyna Soloviy","https://www.youtube.com/watch?v=8B9bCwO1vEY",1
83,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
23,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
25,"Jerry Heil","https://www.youtube.com/watch?v=057OCoikf3A",8
26,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
41,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
48,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
58,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
63,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
68,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
77,"DanteS","https://www.youtube.com/watch?v=SmX8AiEljzM",2
91,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
97,"YARMAK","https://www.youtube.com/watch?v=QZYswnH9H-A",8
5,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
6,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
10,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
17,"Artik & Asti","https://www.youtube.com/watch?v=XnrXCpHBor8",90
19,"A.R.T.I.K","https://www.youtube.com/watch?v=ptx7sPY0EeA",3
20,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
21,"DanteS","https://www.youtube.com/watch?v=SmX8AiEljzM",2
26,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
27,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
36,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
46,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
47,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
56,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
58,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
60,"YARMAK","https://www.youtube.com/watch?v=QZYswnH9H-A",8
