image,total
2017-05-24_07_00,4
2017-05-24_07_05,4
2017-05-24_07_10,3
2017-05-24_07_15,3
2017-05-24_07_20,3
2017-05-24_07_25,2
2017-05-24_07_30,2
2017-05-24_07_35,3
2017-05-24_07_40,3
2017-05-24_07_45,3
2017-05-24_07_50,3
2017-05-24_07_55,3
2017-05-24_08_00,2
2017-05-24_08_05,2
2017-05-24_08_10,2
2017-05-24_08_15,2
2017-05-24_08_20,2
2017-05-24_08_25,3
2017-05-24_08_30,3
2017-05-24_08_35,3
2017-05-24_08_40,3
2017-05-24_08_45,3
2017-05-24_08_50,4
2017-05-24_08_55,6
2017-05-24_09_00,6
2017-05-24_09_05,8
2017-05-24_09_10,9
2017-05-24_09_15,9
2017-05-24_09_20,10
2017-05-24_09_25,10
2017-05-24_09_30,10
2017-05-24_09_35,12
2017-05-24_09_40,13
2017-05-24_09_45,14
2017-05-24_09_50,16
2017-05-24_09_55,14
2017-05-24_10_00,14
2017-05-24_10_05,14
2017-05-24_10_10,16
2017-05-24_10_15,16
2017-05-24_10_20,14
2017-05-24_10_25,15
2017-05-24_10_30,14
2017-05-24_10_35,14
2017-05-24_10_40,15
2017-05-24_10_45,13
2017-05-24_10_50,12
2017-05-24_10_55,14
2017-05-24_11_00,14
2017-05-24_11_05,15
2017-05-24_11_10,15
2017-05-24_11_15,16
2017-05-24_11_20,15
2017-05-24_11_25,16
2017-05-24_11_30,16
2017-05-24_11_35,16
2017-05-24_11_40,16
2017-05-24_11_45,16
2017-05-24_11_50,16
2017-05-24_11_55,16
2017-05-24_12_00,15
2017-05-24_12_05,16
2017-05-24_12_10,16
2017-05-24_12_15,16
2017-05-24_12_20,16
2017-05-24_12_25,15
2017-05-24_12_30,16
2017-05-24_12_35,16
2017-05-24_12_40,17
2017-05-24_12_45,17
2017-05-24_12_50,17
2017-05-24_12_55,17
2017-05-24_13_00,17
2017-05-24_13_05,17
2017-05-24_13_10,16
2017-05-24_13_15,16
2017-05-24_13_20,16
2017-05-24_13_25,15
2017-05-24_13_30,16
2017-05-24_13_35,15
2017-05-24_13_40,15
2017-05-24_13_45,16
2017-05-24_13_50,16
2017-05-24_13_55,16
2017-05-24_14_00,16
2017-05-24_14_05,15
2017-05-24_14_10,16
2017-05-24_14_15,16
2017-05-24_14_20,15
2017-05-24_14_25,14
2017-05-24_14_30,14
2017-05-24_14_35,15
2017-05-24_14_40,15
2017-05-24_14_45,14
2017-05-24_14_50,15
2017-05-24_14_55,17
2017-05-24_15_00,16
2017-05-24_15_05,17
2017-05-24_15_10,17
2017-05-24_15_15,17
2017-05-24_15_20,17
2017-05-24_15_25,17
2017-05-24_15_30,17
2017-05-24_15_35,16
2017-05-24_15_40,16
2017-05-24_15_45,16
2017-05-24_15_50,16
2017-05-24_15_55,15
2017-05-24_16_00,16
2017-05-24_16_05,16
2017-05-24_16_10,16
2017-05-24_16_15,16
2017-05-24_16_20,16
2017-05-24_16_25,16
2017-05-24_16_30,15
2017-05-24_16_35,16
2017-05-24_16_40,16
2017-05-24_16_45,17
2017-05-24_16_50,18
2017-05-24_16_55,17
2017-05-24_17_00,17
2017-05-24_17_05,17
2017-05-24_17_10,18
2017-05-24_17_15,18
2017-05-24_17_20,16
2017-05-24_17_25,16
2017-05-24_17_30,15
2017-05-24_17_35,14
2017-05-24_17_40,16
2017-05-24_17_45,17
2017-05-24_17_50,17
2017-05-24_17_55,17
2017-05-24_18_00,16
2017-05-24_18_05,16
2017-05-24_18_10,16
2017-05-24_18_15,15
2017-05-24_18_20,16
2017-05-24_18_25,16
2017-05-24_18_30,15
2017-05-24_18_35,16
2017-05-24_18_40,15
2017-05-24_18_45,15
2017-05-24_18_50,16
2017-05-24_18_55,13
2017-05-24_19_00,12
2017-05-24_19_05,13
2017-05-24_19_10,12
2017-05-24_19_15,14
2017-05-24_19_20,13
2017-05-24_19_25,12
2017-05-24_19_30,12
2017-05-24_19_35,12
2017-05-24_19_40,13
2017-05-24_19_45,13
2017-05-24_19_50,12
2017-05-24_19_55,13
2017-05-24_20_00,13
2017-05-24_20_05,13
2017-05-24_20_10,15
2017-05-24_20_15,14
2017-05-24_20_20,14
2017-05-24_20_25,13
2017-05-24_20_30,14
2017-05-24_20_35,14
2017-05-24_20_40,14
2017-05-24_20_45,14
2017-05-24_20_50,13
2017-05-24_20_55,11
2017-05-24_21_00,9
2017-05-24_21_05,10
2017-05-24_21_10,10
2017-05-24_21_15,11
2017-05-24_21_20,11
2017-05-24_21_25,10
2017-05-24_21_30,10
2017-05-24_21_35,11
2017-05-24_21_40,9
2017-05-24_21_45,7
2017-05-24_21_50,8
2017-05-24_21_55,9
2017-05-24_22_00,8
2017-05-24_22_05,7
2017-05-24_22_10,7
2017-05-24_22_15,4
2017-05-24_22_20,4
2017-05-24_22_25,4
2017-05-24_22_30,5
2017-05-24_22_35,4
2017-05-24_22_40,5
2017-05-24_22_45,5
2017-05-24_22_50,5
2017-05-24_22_55,6
2017-05-25_07_00,1
2017-05-25_07_05,1
2017-05-25_07_10,1
2017-05-25_07_15,1
2017-05-25_07_20,1
2017-05-25_07_25,3
2017-05-25_07_30,3
2017-05-25_07_35,3
2017-05-25_07_40,3
2017-05-25_07_45,3
2017-05-25_07_50,2
2017-05-25_07_55,2
2017-05-25_08_00,4
2017-05-25_08_05,3
2017-05-25_08_10,2
2017-05-25_08_15,3
2017-05-25_08_20,3
2017-05-25_08_25,3
2017-05-25_08_30,3
2017-05-25_08_35,3
2017-05-25_08_40,3
2017-05-25_08_45,3
2017-05-25_08_50,3
2017-05-25_08_55,3
2017-05-25_09_00,4
2017-05-25_09_05,7
2017-05-25_09_10,7
2017-05-25_09_15,6
2017-05-25_09_20,7
2017-05-25_09_25,7
2017-05-25_09_30,8
2017-05-25_09_35,9
2017-05-25_09_40,10
2017-05-25_09_45,10
2017-05-25_09_50,10
2017-05-25_09_55,11
2017-05-25_10_00,12
2017-05-25_10_05,13
2017-05-25_10_10,12
2017-05-25_10_15,11
2017-05-25_10_20,11
2017-05-25_10_25,11
2017-05-25_10_30,12
2017-05-25_10_35,13
2017-05-25_10_40,12
2017-05-25_10_45,12
2017-05-25_10_50,13
2017-05-25_10_55,16
2017-05-25_11_00,15
2017-05-25_11_05,16
2017-05-25_11_10,17
2017-05-25_11_15,16
2017-05-25_11_20,15
2017-05-25_11_25,15
2017-05-25_11_30,15
2017-05-25_11_35,15
2017-05-25_11_40,14
2017-05-25_11_45,13
2017-05-25_11_50,14
2017-05-25_11_55,16
2017-05-25_12_00,17
2017-05-25_12_05,17
2017-05-25_12_10,17
2017-05-25_12_15,16
2017-05-25_12_20,17
2017-05-25_12_25,17
2017-05-25_12_30,16
2017-05-25_12_35,16
2017-05-25_12_40,16
2017-05-25_12_45,16
2017-05-25_12_50,16
2017-05-25_12_55,16
2017-05-25_13_00,16
2017-05-25_13_05,16
2017-05-25_13_10,15
2017-05-25_13_15,16
2017-05-25_13_20,17
2017-05-25_13_25,17
2017-05-25_13_30,17
2017-05-25_13_35,17
2017-05-25_13_40,17
2017-05-25_13_45,17
2017-05-25_13_50,16
2017-05-25_13_55,16
2017-05-25_14_00,16
2017-05-25_14_05,17
2017-05-25_14_10,15
2017-05-25_14_15,16
2017-05-25_14_20,16
2017-05-25_14_25,17
2017-05-25_14_30,17
2017-05-25_14_35,15
2017-05-25_14_40,17
2017-05-25_14_45,17
2017-05-25_14_50,17
2017-05-25_14_55,17
2017-05-25_15_00,18
2017-05-25_15_05,18
2017-05-25_15_10,17
2017-05-25_15_15,17
2017-05-25_15_20,16
2017-05-25_15_25,17
2017-05-25_15_30,17
2017-05-25_15_35,16
2017-05-25_15_40,17
2017-05-25_15_45,17
2017-05-25_15_50,16
2017-05-25_15_55,17
2017-05-25_16_00,17
2017-05-25_16_05,17
2017-05-25_16_10,17
2017-05-25_16_15,17
2017-05-25_16_20,16
2017-05-25_16_25,15
2017-05-25_16_30,16
2017-05-25_16_35,13
2017-05-25_16_40,14
2017-05-25_16_45,14
2017-05-25_16_50,16
2017-05-25_16_55,15
2017-05-25_17_00,16
2017-05-25_17_05,14
2017-05-25_17_10,13
2017-05-25_17_15,13
2017-05-25_17_20,14
2017-05-25_17_25,16
2017-05-25_17_30,17
2017-05-25_17_35,16
2017-05-25_17_40,16
2017-05-25_17_45,16
2017-05-25_17_50,15
2017-05-25_17_55,16
2017-05-25_18_00,16
2017-05-25_18_05,16
2017-05-25_18_10,17
2017-05-25_18_15,16
2017-05-25_18_20,18
2017-05-25_18_25,18
2017-05-25_18_30,18
2017-05-25_18_35,18
2017-05-25_18_40,17
2017-05-25_18_45,17
2017-05-25_18_50,15
2017-05-25_18_55,17
2017-05-25_19_00,17
2017-05-25_19_05,16
2017-05-25_19_10,16
2017-05-25_19_15,16
2017-05-25_19_20,16
2017-05-25_19_25,15
