name,value,Underline,my_type,title
BBCсCNN - новини України сьогодні Ukraine,2393970,YES,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
GoBeauty Studios Ukraine,2233617,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
В мире чудес Ukraine,2055667,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
Slonn.me Ukraine,1884760,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
Журнал Клубер Ukraine,1766620,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
Dubinsky.pro Ukraine,1108313,YES,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
Мир полон чудес Ukraine,1106879,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
Бджола Ukraine,1069580,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
ReadMe Ukraine,1025086,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
Клёвое Видео Ukraine,1016317,NO,Community in Ukraine,Найпопулярніші спільноти в українському Facebook
ЄвроМайдан – EuroMaydan Ukraine,273673,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Твой Депутат Ukraine,256001,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Демократична Сокира Ukraine,117367,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
"Мы против вмешательства во внутренние дела Украины Ukraine, Russia",75910,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Рух ЧЕСНО Ukraine,71976,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
ОППОЗИЦИОННАЯ ПЛАТФОРМА - ЗА ЖИЗНЬ Ukraine,59776,YES,Political,Найпопулярніші політичні сторінки в українському Facebook
Громадянська мережа ОПОРА Ukraine,39367,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Петр и Мазепа Ukraine,39322,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Євромайдан Львів Ukraine,27910,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Евромайдан Ukraine,22106,NO,Political,Найпопулярніші політичні сторінки в українському Facebook
Петро Порошенко Ukraine,2555060,NO,Politics,Найпопулярніші політики в українському Facebook
Lev Partskhaladze,2383509,NO,Politics,Найпопулярніші політики в українському Facebook
Юлія Тимошенко,2225830,NO,Politics,Найпопулярніші політики в українському Facebook
Віталій Купрій,1644829,NO,Politics,Найпопулярніші політики в українському Facebook
Mikheil Saakashvili,1287259,NO,Politics,Найпопулярніші політики в українському Facebook
Борис Колесников / Borys Kolesnikov,1172176,YES,Politics,Найпопулярніші політики в українському Facebook
Андрій Садовий,1115567,NO,Politics,Найпопулярніші політики в українському Facebook
Volodymyr Groysman,825182,NO,Politics,Найпопулярніші політики в українському Facebook
Арсеній Яценюк,641541,NO,Politics,Найпопулярніші політики в українському Facebook
Команда Зеленського,601826,NO,Politics,Найпопулярніші політики в українському Facebook
