members,value_ua,site,type
166606,79330,Легитимный,sbu
111263,60264,Резидент,sbu
21125,42200,Чёрный Квартал,sbu
33444,37393,Сплетница,sbu
37242,27385,Картель,sbu
7495,21029,Картель,sbu
7681,13409,Резидент,sbu
15302,12800,Одесский фраер,sbu
29007,12302,Легитимный live,sbu
9748,11100,Нетипичное Запорожье,sbu
8344,8000,Николаев live,sbu
8200,5790,Легитимный,sbu
154552,64551,Андрей Портнов,proru
86618,39993,Dubinsky.pro,proru
199797,38042,Perepichka News,proru
47813,36275,наглый,proru
28742,29276,Добкин Михаил,proru
629044,220019,Коронавірус_інфо,other
524704,98266,Украина Сейчас,other
419338,87005,Украина 24/7,other
312703,61413,ТСН,other
308128,55745,Украина Online,other
276837,59654,ХРОНИКИ 🔱 УКРАИНЫ,other
260424,42867,Типичная Украина🔥,other
220595,46762,Инсайдер UA,other
199037,29621,Коронавирус Украина🦠,other
174361,51851,Хуевый Днепр 🖤,other
173638,25285,Украина⚡️Новости,other
168512,23949,Украина в шоке,other
165532,26808,OneNews Украина,other
161140,22671,Антикоррупция UA,other
156195,18884,Top_news | Новини України,other
139719,33282,Адвокат Права,other
135865,55109,Хуевый Харьков,other
127403,16719,БДСН,other
125268,30835,Київ Оперативний | Kyiv Operative,other
116640,21115,ЧП Україна,other
114922,13956,СТРАНА УКРАИНА,other
112344,25697,Украина без цензуры | Новости,other
112078,25718,Украина Новости,other
110208,16581,Криминальная Украина || Новости 🇺🇦,other
108171,12422,Корреспондент UA,other
103016,36711,Молния ⚡️⚡️⚡️,other
102252,30160,News | Украина,other
101551,28144,Харьков Life | Cобытия и новости,other
97957,18954,Новини | Україна,other
97734,16589,GPR.news Украина,other
97056,10157,НОВЫЙ КАНАЛ,other
96546,30813,ХС | Харьков,other
94652,14163,Украина изнутри | Новости,other
92786,9809,UKRAINE NEWS,other
92367,22938,НОВИНА 🇺🇦,other
87714,11637,Репортер UA,other
87365,17720,Куди піти? | Київ ❤️,other
86585,21046,Опасная Украина,other
84320,69666,Джокер,other
81823,16776,ХУкраина / Новости,other
80231,11939,Украина днем и ночью,other
78615,51891,ТРУХА⚡️Харьков,other
76080,11985,Украина Сегодня,other
75743,22316,УКРАИНА PRIVATE,other
71381,32782,Тёмный Рыцарь,other
71198,33127,Новини України | Новости Украины,other
71119,22114,Команда Зеленського,other
