link,type,blocked,my_type,month_vews,name,total_followers,total_views
https://www.youtube.com/channel/UCj4dH8kfRQFey9MYSENPNaQ,7_ТБ канали та їх програми,FALSE,Медіа,14480895.67,112 Украина,800000,866282348
https://www.youtube.com/channel/UC5Z2ZmwAJhPLRIBUVkQljMg,5_Інформаційні канали,FALSE,Медіа,8364012.333,Россия - Украина,751000,115248792
https://www.youtube.com/channel/UC9oI0Du20oMOlzsLDTQGfug,7_ТБ канали та їх програми,FALSE,Медіа,11226673.33,NEWSONE,577000,649121343
https://www.youtube.com/channel/UCDuSNexflm9nFKXLeMlqN2Q,6_Медіа (крім каналів),FALSE,Медіа,7844522.667,Страна.ua,456000,222594189
https://www.youtube.com/channel/UCUOsDBuiB_1zkRixc33TgSg,7_ТБ канали та їх програми,FALSE,Медіа,12526231.33,Телеканал ZIK,446000,351332541
https://www.youtube.com/channel/UCMn-sDD6rLByW8JdweiGctQ,5_Інформаційні канали,FALSE,Медіа,1987286.667,Украина • РУ,225000,87230890
https://www.youtube.com/channel/UCAt6qPWHIYujNYGsD9ITPMQ,5_Інформаційні канали,FALSE,Медіа,100247,TOPINFORM,120000,42478036
https://www.youtube.com/channel/UC9v0qK7oUzp5q2t1XGDxLSg,7_ТБ канали та їх програми,FALSE,Медіа,1160368.667,TK Union,76300,51549191
https://www.youtube.com/channel/UCvPg48aJm8Wz5AIYl2vlRpg,5_Інформаційні канали,FALSE,Медіа,28511.33333,TVgolosnaroda,42600,51083387
https://www.youtube.com/channel/UCKNsiJBAnu28oDgPSrFISnw,7_ТБ канали та їх програми,FALSE,Медіа,371848.6667,Телеканал КРТ,32800,5071070
https://www.youtube.com/channel/UCVPYbobPRzz0SjinWekjUBw,1_Політики,FALSE,Політики,36434626.33,Анатолий Шарий,2390000,3534366324
https://www.youtube.com/channel/UCIp1KqtkG_Q9YtHbVikKXDA,1_Політики,FALSE,Політики,1135668.333,Ольга Шарий,359000,84701935
https://www.youtube.com/channel/UCLJL1R0I3L_jB_rxEOMzJ3A,1_Політики,FALSE,Політики,353226,Евгений Мураев,137000,39525954
https://www.youtube.com/channel/UCYOZi1XdyP32oG8UMocx3AA,1_Політики,FALSE,Політики,13497.66667,Андрей Портнов,117000,4852876
https://www.youtube.com/channel/UCXTlq_3khv72_bD2fcfxtkA,1_Політики,FALSE,Політики,85118,Елена Бондаренко,113000,11616392
https://www.youtube.com/channel/UCBSYa5zQvjL-Y2D89L_OyEw,1_Політики,FALSE,Політики,235252.3333,Максим Гольдарб,87300,12704253
https://www.youtube.com/channel/UCDTO4cWEuuy9uwJYpcjeLGA,1_Політики,FALSE,Політики,163940,Пальчевский Андрей,63100,11421199
https://www.youtube.com/channel/UCxuUZJb6-c52zAJ82xxVSpQ,1_Політики,FALSE,Політики,822868,Пресс-центр Бойко,52500,9421766
https://www.youtube.com/channel/UCxivvq3B0VY0vrzSGfzrOkg,1_Політики,FALSE,Політики,60562.66667,Вадим Рабинович,17900,9545007
https://www.youtube.com/channel/UCP6OGnubuQNWYAaEpbHlpaA,1_Політики,FALSE,Політики,72729.66667,Елена Лукаш,14400,856661
https://www.youtube.com/channel/UCK6vFsvN_yUSKv57TwRbsTg,2_Блогери,FALSE,Блогери,2528004,Karabas Channel,531000,215019828
https://www.youtube.com/channel/UC6psT9WoOinfL2Dk9dB_jEA,2_Блогери,FALSE,Блогери,12002723.33,Aleksandr Semchenko,456000,346504145
https://www.youtube.com/channel/UCFt4th33h9eWcatzwMcsQxg,2_Блогери,FALSE,Блогери,3779020.333,Тетяна Монтян,277000,124490844
https://www.youtube.com/channel/UCopcQiBf6yqBPSNFz9x4OYw,3_Блогерські об'єднання,FALSE,Блогери,625113.6667,Klymenko Time,272000,81616680
https://www.youtube.com/channel/UCSQSxUJb4zH1SEpzNerSLLg,2_Блогери,FALSE,Блогери,7202786,Юрий Подоляка,202000,30195257
https://www.youtube.com/channel/UCBJzXwyC__pB7rmdQjEp1DQ,3_Блогерські об'єднання,FALSE,Блогери,310719,THE MIR,171000,57674897
https://www.youtube.com/channel/UCdFDGNmRmi04W8Hm9Q2UcCw,3_Блогерські об'єднання,FALSE,Блогери,935508,АНТИВОЙНА,166000,67033795
https://www.youtube.com/channel/UCLknnWQsWqpKLFV8U4cTN7g,2_Блогери,FALSE,Блогери,390759,Егор Мисливец,140000,15321507
https://www.youtube.com/channel/UCMKJA395T89pJdTOrMAAnhA,3_Блогерські об'єднання,FALSE,Блогери,810328.3333,Перший Козацький,127000,66057619
https://www.youtube.com/channel/UCwPhuMcjbRcmsqjLBb2HKfA,2_Блогери,FALSE,Блогери,1208050.333,Дмитрий Василец,109000,17155834
https://www.youtube.com/channel/UCUBfSm6__Wenp1IQ6p5horA,3_Блогерські об'єднання,FALSE,Блогери,4250.333333,СБУ - Спілка Блогерів України,66600,56221421
