position,name,week_start,person_type
1,Володимир Путін,2022-04-11,russian
2,Володимир Зеленський,2022-04-11,enemy
3,Джо Байден,2022-04-11,enemy
4,Ігор Конашенков,2022-04-11,russian
5,Іван Шилов,2022-04-11,russian
6,Віктор Медведчук,2022-04-11,friend
7,Дмитро Пєсков,2022-04-11,russian
8,Борис Джонсон,2022-04-11,enemy
9,Марія Захарова,2022-04-11,russian
10,Олександр Лукашенко,2022-04-11,friend
1,Володимир Путін,2022-04-18,russian
2,Володимир Зеленський,2022-04-18,enemy
3,Джо Байден,2022-04-18,enemy
4,Дмитро Пєсков,2022-04-18,russian
5,Сергій Лавров,2022-04-18,russian
6,Рамзан Кадиров,2022-04-18,russian
7,Борис Джонсон,2022-04-18,enemy
8,Марія Захарова,2022-04-18,russian
9,Ігор Конашенков,2022-04-18,russian
10,Олаф Шольц,2022-04-18,enemy
1,Володимир Путін,2022-04-25,russian
2,Володимир Зеленський,2022-04-25,enemy
3,Джо Байден,2022-04-25,enemy
4,Сергій Лавров,2022-04-25,russian
5,Іван Шилов,2022-04-25,russian
6,Ентоні Блінкен,2022-04-25,enemy
7,Марія Захарова,2022-04-25,russian
8,Дмитро Пєсков,2022-04-25,russian
9,Ігор Конашенков,2022-04-25,russian
10,Ллойд Остін,2022-04-25,enemy
1,Володимир Путін,2022-05-02,russian
2,Володимир Зеленський,2022-05-02,enemy
3,Джо Байден,2022-05-02,enemy
4,Олаф Шольц,2022-05-02,enemy
5,Ігор Конашенков,2022-05-02,russian
6,Дмитро Пєсков,2022-05-02,russian
7,Сергій Лавров,2022-05-02,russian
8,Франк-Вальтер Штайнмаєр,2022-05-02,enemy
9,Денис Пушилін,2022-05-02,russian
10,Олександр Лукашенко,2022-05-02,friend
1,Володимир Путін,2022-05-09,russian
2,Володимир Зеленський,2022-05-09,enemy
3,Джо Байден,2022-05-09,enemy
4,Дмитро Пєсков,2022-05-09,russian
5,Ігор Конашенков,2022-05-09,russian
6,Сергій Лавров,2022-05-09,russian
7,Марія Захарова,2022-05-09,russian
8,Емманюель Макрон,2022-05-09,enemy
9,Олаф Шольц,2022-05-09,enemy
10,Жозеп Боррель,2022-05-09,enemy
1,Володимир Путін,2022-05-16,russian
2,Володимир Зеленський,2022-05-16,enemy
3,Джо Байден,2022-05-16,enemy
4,Дмитро Пєсков,2022-05-16,russian
5,Реджеп Ердоган,2022-05-16,friend
6,Ігор Конашенков,2022-05-16,russian
7,Жозеп Боррель,2022-05-16,enemy
8,Сергій Лавров,2022-05-16,russian
9,Олександр Лукашенко,2022-05-16,friend
10,Олександр Ходаковський,2022-05-16,russian
1,Володимир Путін,2022-05-23,russian
2,Володимир Зеленський,2022-05-23,enemy
3,Джо Байден,2022-05-23,enemy
4,Дмитро Пєсков,2022-05-23,russian
5,Реджеп Ердоган,2022-05-23,friend
6,Петро Порошенко,2022-05-23,enemy
7,Ігор Конашенков,2022-05-23,russian
8,Денис Пушилін,2022-05-23,russian
9,Сергій Лавров,2022-05-23,russian
10,Марія Захарова,2022-05-23,russian
1,Володимир Путін,2022-05-30,russian
2,Володимир Зеленський,2022-05-30,enemy
3,Джо Байден,2022-05-30,enemy
4,Реджеп Ердоган,2022-05-30,friend
5,Сергій Лавров,2022-05-30,russian
6,Ігор Конашенков,2022-05-30,russian
7,Олаф Шольц,2022-05-30,enemy
8,Дмитро Пєсков,2022-05-30,russian
9,Олександр Горбаруков,2022-05-30,neutral
10,Марія Захарова,2022-05-30,russian
1,Володимир Путін,2022-06-06,russian
2,Володимир Зеленський,2022-06-06,enemy
3,Джо Байден,2022-06-06,enemy
4,Сергій Лавров,2022-06-06,russian
5,Марія Захарова,2022-06-06,russian
6,Ігор Конашенков,2022-06-06,russian
7,Олаф Шольц,2022-06-06,enemy
8,Дмитро Пєсков,2022-06-06,russian
9,Емманюель Макрон,2022-06-06,enemy
10,Олександр Горбаруков,2022-06-06,neutral
