ID,Зареєстровано,Вулиця,Будинок,Уточнення,Тип питання,Тип підпитання,Аварійна ситуація,Виконавець,За видом,Пріоритет,Об'єкт,Характер робіт,Результат,Дата закриття,ID_str,str_name_new,x,y
328,01.10.2013 07:53,"Свердлова, вулиця",166,,Зливова каналізація,Інше,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Обстеження,Вирішено позитивно,01.10.2013 16:02,390,вулиця Князів Коріатовичів,28.4597411855455,49.22328656207561
329,01.10.2013 07:52,"Литвиненка, вулиця",42,,Санітарне очищення,Прибрати сходову клітку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 12:57,448,вулиця М.Литвиненко-Вольгемут,28.4545269599448,49.2251249309451
330,01.10.2013 08:11,"Соборна, вулиця",81,,Каналізація,Течія мережі по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Прочищення трубопроводу,Вирішено позитивно,01.10.2013 12:43,749,вулиця Соборна,28.464040709012604,49.23362754747371
331,01.10.2013 08:16,"Червоноармійська, вулиця",16а,,Обслуговування ліфтів,Не працює ліфт,ні,Вінницяміськліфт,Скарга,Чергова,Будівля житлова (багатоквартирна),Проведено заміну обладнання,Вирішено позитивно,01.10.2013 15:32,768,вулиця Стрілецька,28.4874777701992,49.2469982583177
332,01.10.2013 08:17,"Келецька, вулиця",39,,Гаряче водопостачання,Низькі параметри гарячої води,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Взято до відома,01.10.2013 20:03,353,вулиця Келецька,28.437411429825698,49.2253019680789
333,01.10.2013 08:20,"Свердлова, вулиця",186,,Каналізація,Течія мережі по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Прочищення трубопроводу,Вирішено позитивно,01.10.2013 17:33,390,вулиця Князів Коріатовичів,28.4547273247117,49.221290532827304
334,01.10.2013 08:18,"Червоноармійська, вулиця",50,,Гаряче водопостачання,Інше,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 13:34,768,вулиця Стрілецька,28.496175414614,49.2479165607012
335,01.10.2013 08:24,"Стельмаха, вулиця",35,,Гаряче водопостачання,Відсутня вода по стояку,ні,ЖЕК-12,Скарга,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 14:18,761,вулиця Стельмаха,28.3943656115431,49.2322189904301
336,01.10.2013 08:20,"Цегельний, провулок",3,,Санітарне очищення,Не прибирається прибудинкова територія,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 12:51,861,провулок Цегельний,28.4625728860426,49.2379509804232
337,01.10.2013 08:23,"Константиновича, вулиця",46,,Освітлення,Відновити освітлення сходової клітини,ні,ЖЕО,Скарга,Чергова,Будівля житлова (багатоквартирна),Проведено ремонтні роботи,Вирішено позитивно,01.10.2013 12:14,382,вулиця Константиновича,28.438968229516806,49.231130235079895
