number,borders,address,july,august,sept,links,rajon,country,difference
350224,"с.Дмитрівка – вул.Кавказька, вул.Кільцева, вул.Коцюбинського, вул.Миру, вул.Набережна, вул.Нечаєва: 2–35, 39; вул.Нова, вул.Новоінгульська, вул.Новомиколаївська, вул.Партизанська, вул.Підгірна, вул.Польова, вул.Пушкіна, вул.Степова, вул.Христофорівська, вул.Шамівська, вул.Шевченка, пров.Вишневий, пров.Квітневий, пров.Левадний, пров.Луняченко, пров.Центральний, с.Гостинне, с.Долина, с.Калинівка","пл.Перемоги, 12, с.Дмитрівка, Знам’янський р-н, Кіровоградська обл., 27422 (сільський будинок культури, вестибюль)",712,710,1243,!cm_core.cm_index?option=ext_dvk&pid100=35&pf5242=350224&prejim=1,Дмитрівська сільська громада,,74.5786516853933
680020,"с.Денисівка, с.Данилівка","вул.Незалежності, 13, с.Денисівка, Білогірський р-н, Хмельницька обл., 30242 (будинок культури, фойє)",283,489,489,!cm_core.cm_index?option=ext_dvk&pid100=68&pf5242=680020&prejim=1,Білогірська селищна громада,,72.791519434629
350016,с.Кетрисанівка,"вул.Шкільна, 1А, с.Кетрисанівка, Бобринецький р-н, Кіровоградська обл., 27247 (школа, фоє)",475,475,841,!cm_core.cm_index?option=ext_dvk&pid100=35&pf5242=350016&prejim=1,Кетрисанівська сільська громада,,77.0526315789474
142228,"м.Маріуполь – вул.Азовська, вул.Верхні Аджахи: 86–272; вул.Верхній блок, вул.Грецька: 173–173Б, 175–177, 179, 181, 183, 185–264Б; вул.Заводська, вул.Конституції, вул.Левицького, вул.Міжрічкова, вул.Мусоргського, вул.Нижні Аджахи: 107–109, 113, 115, 123–256; вул.Річкова, вул.Торгова: 162, 164, 166–166А, 168–176, 178, 180, 182–184, 186А–188, 190, 192–192А, 198–200А, 205–241; вул.1 Азовська, вул.1 Кальчик, вул.1 Матросова, вул.2 Азовська, вул.2 Кальчик, вул.3 Азовська, вул.4 Азовська, пл.Правобережна, пров.Азовський, пров.Воїнський, пров.Грецький, пров.Заводський, пров.Левицького, пров.Правобережний, пров.Семенішина","вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507 (школа №17, актова зала)",1194,1194,2229,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142228&prejim=1,Маріупольська міська громада,,86.6834170854272
142229,"м.Маріуполь – вул.А.Куїнджі: 97, 99–125, 131–133А, 135–141А, 148–156; вул.Архітектора Нільсена: 139–173; вул.Готфейська: 1–3А, 5–5А, 7, 9А, 11, 13, 15, 17; вул.Кальміуська: 1–25; вул.Кальчанська, вул.Карасівська: 1–19, 21; вул.Успенська, вул.Шевченка: 2–19, 21–21А, 27, 29–29А, 31–33, 35–35А, 37, 39; пров.Кальміуський, пров.Кальчанський, пров.Каретний, пров.Сартанський, просп.Металургів: 129А, 129Б, 133, 133А;","вул.А.Куїнджі, 140, м.Маріуполь, Донецька обл., 87549 (школа №36, хол, праве крило, 1-й поверх)",1451,1454,2034,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142229&prejim=1,Маріупольська міська громада,,40.1791867677464
142230,"м.Маріуполь – вул.А.Куїнджі: 142–146; вул.Верхні Аджахи: 1–84А; вул.Грецька: 105, 107, 109, 111, 113, 115, 119, 121–123А, 125, 127, 129, 139–172, 174, 178–178А, 180–180Б, 182–182/2, 184–184А; вул.Мар’їнська: 6–27; вул.Нижні Аджахи: 1–105, 110–110А, 114, 116; вул.Торгова: 86, 88–88/88А, 90, 92, 97–161, 163, 165, 167, 177, 179, 181, 185, 189, 191, 193–197, 201–203В; просп.Металургів: 123А, 127, 127А, 129, 131А;","вул.А.Куїнджі, 140, м.Маріуполь, Донецька обл., 87549 (школа №36, хол, ліве крило, 1-й поверх)",1442,1443,2011,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142230&prejim=1,Маріупольська міська громада,,39.4590846047157
142232,"м.Маріуполь – бульв.Шевченка: 91–93; вул.Волзька, вул.Котляревського, пров.Волзький, пров.Котляревського, проїзд Котляревського, просп.Металургів: 102;","просп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549 (школа №16, хол)",1864,1855,2243,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142232&prejim=1,Маріупольська міська громада,,20.3326180257511
142233,"м.Маріуполь – вул.А.Куїнджі: 130, 134; вул.Бахмутська: 1А–47А, 49, 51, 53; вул.Готфейська: 4–4А, 6, 8, 10, 12, 14, 16–16А, 18–27; вул.Грецька: 74, 76, 78–78А, 80, 82, 84–104Б, 106, 108, 110, 112, 114, 116–118, 120/18, 124, 126, 128, 130–138; вул.Євпаторійська: 3–28, 30–30А; вул.Карасівська: 20, 23–34; вул.Кафайська: 3–34; вул.Новосхідна, вул.Шевченка: 20/138, 22–26, 28, 30, 34, 36, 38; пров.Бахмутський, пров.Колгоспний, пров.Новосхідний, просп.Металургів: 109, 111, 117, 119, 121, 123; тупик Бахмутський","просп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549 (школа №16, рекреація)",1865,1865,2233,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142233&prejim=1,Маріупольська міська громада,,19.7319034852547
142234,"м.Маріуполь – бульв.Шевченка: 71, 73, 77–87А; вул.А.Куїнджі: 130А; вул.Затишна: 2–4, 6, 8, 10–10А, 12, 14–16В, 18, 20, 22, 24, 26, 28–30, 32–34, 40, 46, 48, 50, 52, 54, 56, 58, 60–64, 66–66А, 68, 70, 72, 74, 76, 78, 80–84; вул.Кальміуська: 56–141; вул.Левітана, вул.Свободи, вул.Шевченка: 102–110, 135, 139–139А; пров.Вишневий, пров.Левітана, пров.Свободи, просп.Металургів: 113; тупик Левітана","просп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549 (школа №16, рекреація)",1206,1206,1646,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142234&prejim=1,Маріупольська міська громада,,36.4842454394693
142240,"м.Маріуполь – вул.Архітектора Нільсена: 35А; вул.Георгіївська: 75, 79; вул.Італійська: 103, 105, 107, 109, 109А, 109Б, 111, 111А, 113, 119, 121, 123, 125, 129, 136, 136А, 138, 140, 144, 164, 166, 168, 170, 172, 174, 176, 184, 186, 188, 190, 192, 192/2, 194, 198, 200, 202, 204, 206, 210, 212, 214, 216, 218, 218А, 220, 222, 222Б, 224, 224А, 226, 226А, 226/2, 228, 230, 232, 234, 236, 238, 250, 258; вул.Казанцева: 12–14А, 18А; вул.Клинова, вул.Лісова: 1, 1А, 3, 4, 5, 5А, 6, 6А, 7, 8, 9, 9А, 10, 10А, 11, 12, 14, 14А, 16, 18, 20, 20А, 24; вул.Університетська, вул.Шахтарська: 2, 4А, 6, 8, 10, 10А, 20, 22, 35, 37, 37А, 39, 41, 43, 45, 47; пров.Кибальчича, пров.Парниковий, пров.Стрілковий, пров.Український, просп.Металургів: 31, 33, 35, 37; просп.Миру: 54/46–62, 66/39; просп.Нахімова: 99, 101, 103, 105;","вул.Казанцева, 3А, м.Маріуполь, Донецька обл., 87500 (Приазовський державний технічний університет, навч.корп.№9, хол)",1567,1567,2208,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142240&prejim=1,Маріупольська міська громада,,40.9061901723038
